@RELATION emotions

@ATTRIBUTE pendMup1 NUMERIC
@ATTRIBUTE pendMdown1 NUMERIC
@ATTRIBUTE apertura NUMERIC
@ATTRIBUTE pendMEBL NUMERIC
@ATTRIBUTE pendEBR NUMERIC

%Atributo objetivo: Angry 
@ATTRIBUTE Angry NUMERIC

@DATA
-0.044444444444444446,-0.25,9,0.32,-0.32,4.32
-0.04081632653061224,-0.02127659574468085,1,0.37777777777777777,-0.2222222222222222,4.6
0.1,-0.12,11,0.3333333333333333,-0.18518518518518517,4.3
0.0,-0.3333333333333333,18,0.28888888888888886,-0.2765957446808511,1.16
-0.037037037037037035,-0.38181818181818183,19,0.2727272727272727,-0.2708333333333333,1.26
-0.11320754716981132,-0.37735849056603776,14,0.2222222222222222,-0.3617021276595745,1.29
-0.2127659574468085,-0.30434782608695654,4,0.16326530612244897,-0.37777777777777777,1.19
-0.09523809523809523,-0.09523809523809523,0,0.23404255319148937,-0.24,2.19
0.0,-0.4418604651162791,19,0.1702127659574468,-0.1568627450980392,2.4
-0.13043478260869565,-0.15555555555555556,1,0.14583333333333334,-0.13725490196078433,2.42
-0.13043478260869565,-0.21739130434782608,4,0.24444444444444444,-0.3617021276595745,1.52
-0.06818181818181818,-0.1590909090909091,4,0.3170731707317073,-0.36363636363636365,1.68
0.046511627906976744,-0.5476190476190477,25,0.2619047619047619,-0.3191489361702128,1.68
-0.018518518518518517,0.037037037037037035,3,0.22448979591836735,-0.20833333333333334,3.84
-0.037037037037037035,-0.05454545454545454,1,0.2391304347826087,-0.21739130434782608,4.1
0.06521739130434782,0.06521739130434782,0,0.21739130434782608,-0.2553191489361702,3.52
-0.0847457627118644,-0.08333333333333333,0,0.2553191489361702,-0.23404255319148937,1.42
-0.07936507936507936,-0.109375,2,0.24489795918367346,-0.2391304347826087,1.65
-0.08196721311475409,-0.07936507936507936,0,0.22448979591836735,-0.2608695652173913,1.45
0.0425531914893617,0.0625,1,0.16666666666666666,-0.21739130434782608,2.87
0.08695652173913043,0.06382978723404255,1,0.21739130434782608,-0.1702127659574468,2.87
